|LANDXADDRESSPOINT|LANDYADDRESSPOINT|NAME|DESCRIPTION|INC_CRC|FMEL_UPD_D|HYPERLINK
0|42193.6328|36479.08|Jalan Pelatok Open Space|Jalan Pelatok|BC5EA394BD8CE9F8|20200218182414|
1|44210.12|41314.54|Turnhouse Park|Natheravon Road|AB31CCDD36F93C1C|20200218182414|
2|37994.87|43526.7266|Coney Island Park|Beside Punggol Promenade Nature Walk|7CAC664DFF94240C|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/coney-island-park
3|31744.6465|40134.5625|Stratton Walk Playground|Located at the end of Stratton Walk|8FC92F17CF75A88A|20200218182414|
4|27527.52|39418.4531|Leban Park|Behind Sembawang Hills Food Centre.  Upper Thomson Road behind ESSO.|EB7459375A3D10F7|20200218182414|
5|41180.700000000004|33663.2344|Kew Drive Playground|At the roundabout of Kew Drive|3120B9A286F21587|20200218182414|
6|41563.207|35869.1133|Harvey Crescent Playground|Harvey Crescent|20880D0B4E75011A|20200218182414|
7|33374.3672|38774.520000000004|Poh Huat Road Playground|Bounded by Poh Huat Road and Poh Huat Crescent|2C20594469A955C4|20200218182414|
8|28106.66|41335.49|Lentor Street Playground|Near Lentor Crescent and Lentor Street|0E6DB6A242F9EEF2|20200218182414|
9|31097.3965|40340.4453|Lilac Drive Playground|Located at the end of Lilac Drive|E6F53FED0B894E21|20200218182414|
10|31355.8457|37272.1055|Mei Hwan Drive Playground|Bounded by Lorong Chuan and Ang Mo Kio Ave 1|19AFA344C16505F9|20200218182414|
11|31637.9512|38060.5078|Chuan Green Playground|Along Chuan Drive|772D072B4A23E587|20200218182414|
12|31346.3379|41087.71|Begonia Road Playground|Begonia Road near provision shop|0ED8A5B4660D3DC6|20200218182414|
13|28435.7344|41306.41|Fudu Walk Playground|Junction of Lentor Road and Fudu Walk|086DCD09121859AE|20200218182414|
14|28586.752|41331.840000000004|Countryside Playground|Junction of Lentor Loop and Countryside Link and Countryside Road|6946A424EC57BD58|20200218182414|
15|40644.66|35116.0547|Jalan Pari Burong Playground|Jalan Pari Burong|A058CCE975E44EBF|20200218182414|
16|27940.62|39292.950000000004|St. Nicholas View Playground|Junction of Ang Mo Kio Ave 2 and Ang Mo Kio Street 11|5788E506D0FDAB82|20200218182414|
17|37555.41|33918.8438|Waringin Park Playground|Along Waringin Park|EF909169B81E9DEB|20200218182414|
18|33733.9922|36352.3828|Tai Keng Place Playground|A small playground at the end of Tai keng Place (Road)|6F29197BDF70B653|20200218182414|
19|32917.31|38674.1055|Parry Road Playground|Bounded by Parry Road, Parry Terrace and Chuan Hoe Avenue|D4893F4D6A7A6DC4|20200218182414|
20|31600.2246|38054.4258|Garden View Playground|Along Conway Grove|B702F418F69DC068|20200218182414|
21|34622.01|39064.9141|Jalan Naung Playground|Along Jalan Naung|75456CBD2D8FA780|20200218182414|
22|28563.6035|41173.2773|Lentor Walk Playground|Junction of Lentor Loop and Lentor Walk|F0619964ED0B58C6|20200218182414|
23|42788.71|38223.6563|Mariam Way Playground|Mariam Way|24CB69EEF1E5A3E7|20200218182414|
24|43049.3633|37957.74|Mariam Walk Playground|Mariam Walk|F66150300D02C36F|20200218182414|
25|27922.59|40074.2734|Thomson Green Playground|Thomson Green road, behind shop houses|B301234EA6A5BBF3|20200218182414|
26|33652.3945|37516.293|Surin Avenue Neighbourhood Park|Bounded by Surin Ave and Aroozoo Ave|88D9CB89C5ED2C1F|20200218182414|
27|31192.59|36742.3359|Chiltern Drive Interim Park|Located along Chiltern Drive (Road) within Braddel Height Estate and beside St. Gabriel Secondary School|799AC8121D7A57AE|20200218182414|
28|40828.14|33494.92|Kew Crescent Playground|Along Kew Crescent|B3743948D125A5E7|20200218182414|
29|28415.9277|40803.4023|Lentor Green Playground|Near Lentor Loop and within Lentor Green|EF3BCEF9A11F2BE9|20200218182414|
30|31730.62|40559.5|Nim Crescent Open Space|Located along Nim Crescent|AE9C00E81015C0B6|20200218182414|
31|31798.8789|37740.3945|Colchester Grove Open Space|Along Colchester Grove|DB02F9F1D0A2C0AB|20200218182414|
32|31565.600000000002|39136.066399999996|Tavistock Avenue Park|Junction of Ang Mo Kio Ave 3 and Tavistock Ave|CF26A22674D2BC36|20200218182414|
33|38126.0273|33097.957|Elite Terrace Park|Bounded by Elite Park Avenue and Elite Terrace|055A39B259377CFB|20200218182414|
34|32458.5449|40838.3828|Jalan Selaseh Playground|Bounded by Jalan Selaseh, Seletar Hills Drive & Jalan Keruing|AA6469B3C9CF05CF|20200218182414|
35|33292.4922|37270.81|Jalan Geneng Interim Park|Along Jalan Geneng|1852078C6668522B|20200218182414|
36|31302.8281|31643.29|Kampong Glam Park|Along beach road|5F26F987DF1B33E6|20200218182414|
37|29407.404300000002|36916.92|Clover Way Playground|Junction of Clover Way and Binchang Rise|1A59DE3A345F4205|20200218182414|
38|36326.05|31914.5215|Marine Parade Road Park|A linear park along Marine Parade Road between Still Road South (Road) and East Coast Road. It flanked itself at terminal roads of private houses with one courtyard in front of Grand Mercue Roxy Hotel.|4DBD588CA9153C17|20200218182414|
39|32898.79|35180.4922|Butterfly Avenue Playground|Butterfly Avenue, Sennett Estate|4FF401FD8E317547|20200218182414|
40|28784.1875|36785.8867|Marymount Terrace Playground|End of Marymount Terrace|BF55993565B41D6E|20200218182414|
41|31316.0176|36085.8555|Carmichael Road Playground|Carmichael Road|53DA086B747F82E2|20200218182414|
42|20481.7715|35163.5234|Greenridge Crescent Playground|Located along Greenridge Crescent|3DC1E90FB5DDF7DD|20200218182414|
43|28024.0859|38241.7148|Fulton Avenue Playground|Along Fulton Ave|1C301C15FB8F9285|20200218182414|
44|20952.0781|35070.4063|Savoy Park Playground|Located at the end of Eng Kong Drive|E439DF16FD095FF9|20200218182414|
45|20646.9258|35214.2734|Eng Kong Place Fitness Corner|Located along Eng Kong Place|9B2E40862E5853BF|20200218182414|
46|18582.3281|33313.7734|Pandan Reservoir Fitness Corner|Juntion of West Coast Road & Pandan Gardens|46F986B3C0659F1F|20200218182414|
47|21402.1816|37255.4648|Bukit Timah Nature Reserve|End of Hindhede Drive|3BDE3205F96F1B62|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/bukit-timah-nature-reserve
48|23493.9238|30813.2578|one-north Park: Mediapolis|Media Circle, next to MediaCorp campus|0A0B96D99AE2AD78|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/one-north-park-mediapolis
49|15072.7891|35774.543|Lakeside Grove Fitness Corner|Corporation Rise, along Lakeside PCN.|49F83FD6C22D5865|20200218182414|
50|13279.7637|37097.996100000004|Westwood Park Playground|Westwood Crescent/Ave.|3A7423776B643EA3|20200218182414|
51|20360.0234|39179.61|Cashew Road Playground|Junction of Cashew Road and Upper Bukit Timah Road|9B2F0980DFE85F18|20200218182414|
52|19730.9824|37857.1523|Chu Yen Playground|Junction of Jln Remaja and Chu Yen Street|CB9D8F2AC6FB3D32|20200218182414|
53|19954.55|37494.57|Hillview Crescent Playground|Hillview Cescent, along Hillview Avenue|C03B764FE9E80701|20200218182414|
54|20553.3086|34335.0938|Sunset Way Playground|Along Sunset Way|D02DFEA28D368014|20200218182414|
55|16630.9316|35360.1055|Jurong Lake Gardens|Along Yuan Ching Road and Boon Lay Way|DB390E826A98D15C|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/jurong-lake-gardens
56|23249.6484|31483.7539|one-north Park: Fusionopolis North|Along Central Exchange Green|FECD599E4B43D4AB|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/one-north-park-fusionopolis-north
57|20370.07|32340.6582|Taman Mas Merah Playground|Taman Mas Merah, West Coast Peak Estate|6C744303E59213AC|20200218182414|
58|20833.7773|39263.5234|Cashew Link Playground|Located along Cashew Link and Cashew Crescent|76672EABB60FDEBA|20200218182414|
59|21621.8633|36924.29|Hindhede Nature Park|Along Hindhede Drive|A915DD4C9B00E016|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/hindhede-nature-park
60|19615.11|33558.7734|Faber Hill Playground|Along Faber Green|76825A42FC8AC938|20200218182414|
61|19941.144500000002|35776.9|Burgundy Crescent Playground|Burgundy Crescent, within Burgundy Hill Residences|39625DFC79777B4B|20200218182414|
62|19947.22|38053.97|Lorong Kemunchup Playground|Along Lorong Kemunchup|C767FF100CA63B91|20200218182414|
63|21388.3|38307.4766|Dairy Farm Nature Park|Along Dairy Farm Road|D2E818169A369EA4|20200218182414|
64|20823.1934|38851.6328|Chestnut Drive Playground|Junction of Chestnut Drive and Chestnut Terrace|A29D55628024A73B|20200218182414|
65|20372.2422|34435.39|Sunset Way Park|Along Sunset Way, located just outside Clementi Park Condo|D2E19B02FA1C3F3B|20200218182414|
66|18947.6738|39366.082|Pavilion Park Playground|Pavilion Circle, off Bukit Batok Road|3C808BDDC9DDA21F|20200218182414|
67|19435.25|33093.590000000004|West Coast Green Playground|West Coast Green, West Coast Gardens Estate|E7E7429FF42D5F9F|20200218182414|
68|19685.3613|38078.19|Jalan Dermawan Playground|Along Jln Dermawan|026A96ECFD0DE9D4|20200218182414|
69|23085.7988|31990.100000000002|one-north Park: Rochester East|Along Vista Exchange Green, in front of Rochester Mall|6737176BF81736D6|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/one-north-park-rochester-east
70|14039.5664|35576.996100000004|Jurong Central Park|Junction off Jalan Boon Lay & Boon Lay Way|8A8EE7F0A86B2251|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/jurong-central-park
71|19580.841800000002|33861.418|Faber Height Open Space|Along Faber Walk|8C43839BF220936F|20200218182414|
72|19667.843800000002|32949.17|West Coast Place Playground|West Coast Place, West Coast Gardens Estate|D7D8AEC6567902E5|20200218182414|
73|13011.35|37370.58|Westville Playground|Westwood Crescent, along Jalan Bahar|0875BCBCF3532C19|20200218182414|
74|18884.75|41274.94|Villa Verde Park|Junction of Choa Chu Kang North 5 and Stagmont Ring Rd|825841DB4B9E80ED|20200218182414|
75|20449.4258|36630.19|Bukit Batok Nature Park|"Along Bukit Batok East Avenue 2 and Bukit Batok East Avenue 6
"|687BC328F41D4BB4|20200218182414|
76|21327|39032.520000000004|Chestnut Close Playground|Located at end of Chestnut Close|66CC564969878943|20200218182414|
77|24929.095699999998|42402.668|Upper Seletar Reservoir Park|Along Mandai Road Track 7, off Mandai Road|750596296F1D4DC4|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/upper-seletar-reservoir-park
78|26344.8828|42433.9453|Thong Soon Green Playground|Beside petrol kiosk|2733F67AEA96B1A9|20200218182414|
79|26783.1289|42526.7148|Springleaf Avenue Playground|Springleaf avenue|CB24BE507115244E|20200218182414|
80|24829.8965|29147.834000000003|The Southern Ridges|Southern Singapore|5DEB8A91BCAA7962|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/the-southern-ridges
81|26965.9258|30003.668|Tiong Bahru Park|"Along Tiong Bahru Road and Lower Delta Road

"|E7396C4A8BD86249|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/tiong-bahru-park
82|20687.998|31255.1367|Clementi Woods Park|Along West Coast Road next to West Coast Plaza|DB6AC9C66DF7E39E|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/clementi-woods-park
83|20065.9121|32367.6465|Jalan Mas Puteh Playground|Jalan Mas Puteh, West Coast Peak Estate|E251D11ADDEF4483|20200218182414|
84|20174.1543|30947.6738|West Coast Park|Parallel to West Coast Highway|857734FB60B3361E|20200218182414|
85|23259.3086|31330.1641|one-north Park: Fusionopolis South|Along Central Exchange Green|EA18912EEAD8317A|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/one-north-park-fusionopolis-south
86|20897.2148|39361.4922|Cashew Crescent Fitness Corner Playground|Located along Cashew Road and Cashew Crescent|6B361A762DD3F663|20200218182414|
87|20790.5566|37721.0039|Fuyong Interim Park|Located along Jalan Asas|27950593DED69D81|20200218182414|
88|18553.3359|41229.6172|Choa Chu Kang Park|Along Choa Chu Kang Drive, next to KJE|84998193765E95EA|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/choa-chu-kang-park
89|20246.1777|39294.06|Hazel Park Open Space|Located along Upper Bukit Timah Road|A50FBDC42FFC5543|20200218182414|
90|20241.6367|32236.39|Jalan Mas Kuning Playground|Jalan Mas Kuning, West Coast Peak Estate|52CC5AD24CCC049E|20200218182414|
91|20827.3066|34463.0234|Sunset Heights Open Space|Along Sunset Heights|889F376DE6E359DC|20200218182414|
92|21163.084|39468.7422|Almond Crescent Playground|Junction of Almond Crescent and Almond Street|266324D3F3D2CD6C|20200218182414|
93|19533.394500000002|39764.58|Phoenix Heights Playground|Along Phoenix Rd, off Choa Chu Kang Rd|52C91CF6F5780AA7|20200218182414|
94|15232.3789|35804.2773|Lakeside Grove Playground|Corporation Rise|342ED74CBE233662|20200218182414|
95|22959.7285|32048.9141|one-north Park: Rochester West|Along Vista Exchange Green, opposite The Star Vista|9906605784F7494E|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/one-north-park-rochester-west
96|12373.1123|35518.2578|Yunnan Park|Yunnan Crescent.Opp Jurong west sports hall.|F1A06128098C43A8|20200218182414|
97|19403.1211|37715.7344|Bukit Batok Town Park|Along Bukit Batok East Avenue 5|3E22C0281F3E04E2|20200218182414|www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/bukit-batok-town-park
98|19926.845699999998|37739.7148|Jalan Remaja Interim Park|Along Jln Remaja|6F7E275FDB39B5A5|20200218182414|
99|33337.3164|38457.832|Parry Avenue Interim Park|Along Parry Ave and Glasgow Road|8238C86374B86AD2|20200218182414|
100|31163.3164|37207.6367|Mei Hwan Crescent Playground|Bounded by Mei Hwan Drive and Mei Hwan Crescent|021312435E6361A0|20200218182414|
